Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
15,Malik Beasley,SG,28,DET,6,0,27.2,4.7,12.5,0.373,3.3,9.8,0.339,1.3,2.7,0.5,0.507,1.3,1.3,1,0.2,2.3,2.5,1.2,0.5,0.2,1.2,1.7,14
16,Goga Bitadze,C,25,ORL,3,0,3.7,0.3,0.3,1,0,0,,0.3,0.3,1,1,0,0,,0,1,1,0.3,0,0.3,0,2,0.7
17,Anthony Black,PG,21,ORL,5,0,17.8,3,7.4,0.405,0.4,2.6,0.154,2.6,4.8,0.542,0.432,1.8,2.6,0.692,2,2.4,4.4,0,0.8,0.2,0.4,1.6,8.2
18,Bogdan Bogdanović,SG,32,LAC,7,0,16.7,2.3,6.3,0.364,1,3.4,0.292,1.3,2.9,0.45,0.443,0.9,1,0.857,0.7,2.1,2.9,2.1,0.4,0,1.6,3.6,6.4
19,Tony Bradley,C,27,IND,11,0,7.1,0.4,0.8,0.444,0,0.1,0,0.4,0.7,0.5,0.444,0.8,1.1,0.75,1,0.9,1.9,0.3,0,0.1,0.4,0.9,1.5
20,Christian Braun,SG,23,DEN,14,14,38.9,4.8,10.6,0.453,1.5,5,0.3,3.3,5.6,0.59,0.524,1.6,2.2,0.71,1.8,4.6,6.4,2.4,1.2,0.7,1,3.4,12.6
21,Mikal Bridges,SF,28,NYK,18,18,39.2,6.7,14.6,0.456,1.6,4.7,0.333,5.1,9.9,0.514,0.51,0.7,0.9,0.75,1.1,3.4,4.5,2.9,1.7,0.9,2.1,2.2,15.6
22,Dillon Brooks,SF,29,HOU,7,7,29.4,4,9,0.444,1.4,4.1,0.345,2.6,4.9,0.529,0.524,2.9,3.4,0.833,1.3,1.9,3.1,1.3,0.7,0.3,1.3,3.9,12.3
23,Jaylen Brown,SF,28,BOS,11,11,36.5,7.8,17.7,0.441,1.9,5.7,0.333,5.9,12,0.492,0.495,4.5,6,0.758,1.2,5.9,7.1,3.9,1,0.3,3.5,3.2,22.1
24,Kobe Brown,PF,25,LAC,3,0,5,2.3,2.7,0.875,0.3,0.3,1,2,2.3,0.857,0.938,0.3,0.3,1,0,0.3,0.3,1.3,0,0,0,0,5.3
25,Jalen Brunson,PG,28,NYK,18,18,37.8,10.1,21.8,0.461,2.7,7.4,0.358,7.4,14.4,0.514,0.522,6.7,7.8,0.851,0.7,2.8,3.4,7,0.4,0.3,3.1,3.3,29.4
26,Thomas Bryant,C,27,IND,20,0,8.4,0.8,1.7,0.485,0.5,0.9,0.5,0.4,0.8,0.467,0.621,0.6,0.7,0.786,0.4,1,1.4,0.2,0.2,0.3,0.4,1.3,2.6
27,Alec Burks,SG,33,MIA,1,1,15,2,3,0.667,2,3,0.667,0,0,,1,0,0,,0,2,2,2,0,0,0,0,6
28,Jimmy Butler,SF,35,GSW,11,11,36.1,6.2,13.8,0.447,1,3.3,0.306,5.2,10.5,0.491,0.484,5.8,7.3,0.8,2.4,4.3,6.6,5.2,1.3,0.3,1.2,1.7,19.2
29,Kentavious Caldwell-Pope,SG,31,ORL,5,5,32.6,1.6,6,0.267,1.2,4.6,0.261,0.4,1.4,0.286,0.367,0.6,0.8,0.75,0.2,2.8,3,1.8,1.4,0.6,0.4,2.2,5
30,Vlatko Čančar,PF,27,DEN,3,0,3.7,0,0,,0,0,,0,0,,,0,0,,0,0.7,0.7,0,0,0,0.7,0,0
31,Wendell Carter Jr.,C,25,ORL,5,5,32.4,4.2,8,0.525,0.6,2.2,0.273,3.6,5.8,0.621,0.563,1.2,2,0.6,3.8,7,10.8,1.2,0.4,0.4,1.6,2.4,10.2
32,Alex Caruso,SG,30,OKC,23,0,24.4,3.1,7,0.45,1.6,3.9,0.411,1.5,3,0.5,0.566,1.3,1.7,0.795,0.7,2,2.7,2.2,2,0.6,0.8,2.7,9.2
33,Cam Christie,SG,19,LAC,3,0,4.3,0.7,1,0.667,0.3,0.7,0.5,0.3,0.3,1,0.833,0,0,,0,0.7,0.7,0,0.3,0,0.3,0,1.7
34,Jaylen Clark,SG,23,MIN,5,0,5.6,0.8,1,0.8,0,0.2,0,0.8,0.8,1,0.8,0.6,0.8,0.75,0.4,1,1.4,0.2,0.4,0,0.2,0.4,2.2
35,Mike Conley,PG,37,MIN,15,15,23.7,1.9,6.4,0.302,1.3,4,0.333,0.6,2.4,0.25,0.406,0.8,0.9,0.923,0.8,2.1,2.9,3.3,0.6,0.2,0.8,1.4,6
36,Pat Connaughton,SG,32,MIL,3,0,4.7,0.7,2.7,0.25,0.3,1.3,0.25,0.3,1.3,0.25,0.313,0.3,0.7,0.5,0,0.7,0.7,0.3,0,0,0.3,0.3,2
37,Torrey Craig,SF,34,BOS,5,0,4.2,0.4,0.8,0.5,0.4,0.6,0.667,0,0.2,0,0.75,0,0,,0.4,0.6,1,0.6,0.2,0,0.2,0.4,1.2
38,Cade Cunningham,PG,23,DET,6,6,41.3,9.2,21.5,0.426,0.8,4.7,0.179,8.3,16.8,0.495,0.446,5.8,7,0.833,1,7.3,8.3,8.7,1.8,1.3,5.3,3.3,25
39,Stephen Curry,PG,36,GSW,8,8,35.1,7.8,16.3,0.477,4,10,0.4,3.8,6.3,0.6,0.6,3.1,3.5,0.893,0.3,5,5.3,5.1,1,0.8,3.4,1.6,22.6
40,Tristan Da Silva,SF,23,ORL,2,0,2.5,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,2,2,0.5,0,0,1,0,0
